노선번호,노선형태,노선구분,노선유형,기점ID,종점ID,첨두시배차간격,비첨두시대차간격,노선총길이,노선개정번호,노선경유개정번호,관할관청,노선표준ID,운행개시일,운행종료일,BCP_ID,노선명,노선ID
92-2번,2,0,11,26,708,0,0,14827.2,1001,1001,구미시,355002322,20110101,20301231,1001,경운대_임봉초등_4공단입구_인동,92-220
92-2번,1,0,11,709,26,0,0,14842.8,1001,1001,구미시,355002321,20110101,20301231,1001,인동_4공단입구_임봉초등_경운대,92-210
00-0번,1,0,11,79,1999,0,0,4519.3,1001,1001,구미시,355002286,20100101,20900201,1001,미운행노선(버스 충전을 위한 노선입니다.),00-010
881번,1,0,13,80,2440,73,73,25277.2,1001,1001,구미시,355000194,20110101,20301231,1003,(구 60번)구미역_천평,88110
180번,2,0,13,105,79,120,120,14070.7,1001,1001,구미시,355002062,19000101,21000101,1003,(구 전기버스7번)구평예다음아파트_구미역,18020
101-1번,1,0,13,80,958,228,228,5735.2,1001,1001,구미시,355002066,19000101,20300101,1001,구미역_터미널_공단1동행정복지센터,101-110
180번,1,0,13,80,105,116,116,14337.4,1001,1001,구미시,355002061,19000101,21000101,1003,(구 전기버스7번)구미역_구평예다음아파트,18010
182-2번,2,0,13,884,79,153,153,13571.4,1001,1001,구미시,355002076,20110101,20301231,1003,(구 43-1번)황상_신평시장_구미역,182-220
303-1번,3,0,13,884,883,112,112,12095.9,1001,1001,구미시,355002229,19000101,20300101,1003,황상동_인동행정복지센터_황상동,303-130
101-1번,2,0,13,958,79,161,161,6578.6,1001,1001,구미시,355002067,19000101,20300101,1001,공단1동행정복지센터_터미널_구미역,101-120
184번,1,0,11,80,709,58,58,10577.8,1001,1001,구미시,355002159,20110101,20501231,1001,구미역_공단본부_인동,18410
303-1번,3,1,13,884,883,232,232,17293.9,1001,1001,구미시,355002070,20110101,20501231,1003,황상동_신동_인동행정복지센터_황상동,303-131
51번,3,0,13,4042,4041,160,160,42700.4,1001,1001,구미시,355000176,20110101,20301231,1003,김천_의동_아포역_김천,5130
303-1번,3,2,13,884,883,48,48,10988.3,1001,1001,구미시,355002184,19000101,20300101,1003,황상동_(인동행정복지센터미경유)_황상동,303-132
52번,2,0,13,435,4041,184,184,33736,1001,1001,구미시,355000178,20110101,20301231,1003,선산_김천,5220
11-2번,3,0,13,2355,2355,0,0,13703.5,1001,1001,구미시,355000340,20110101,20301231,1003,왜관남부정류장_왜관공단_왜관남부정류장,11-230
184번,2,0,13,708,79,52,52,10863.5,1001,1001,구미시,355002160,20110101,20501231,1001,인동_공단본부_구미역,18420
